'bleaching-seatemp,'bbvi1-ctd-deep-seatemp,'online,'( 1 366),'AVERAGE=(20 29.8),'HIGH=(29.8 30.8),'VERY-HIGH=(30.8 31.8),'DRASTIC-HIGH=(31.8 33)
'satsignal,'bbvi1-daps-sig,'online,'( 1 366),'DRASTIC-LOW=(0 30),'VERY-LOW=(30 36),'LOW=(36 38),'SOMEWHAT-LOW=(38 40),'AVERAGE=(40 45),'SOMEWHAT-HIGH=(45 46),'HIGH=(46 47),'VERY-HIGH=(47 48),'DRASTIC-HIGH=(48 50)
'sea1m-monthly,'bbvi1-ctd-shallow-seatemp-30-day-average,'online,'( 1 366),'DRASTIC-LOW=(20 24),'VERY-LOW=(24 25.5),'LOW=(25.5 26),'SOMEWHAT-LOW=(26 27),'AVERAGE=(27 28.8),'SOMEWHAT-HIGH=(28.8 29.8),'HIGH=(29.8 30.3),'VERY-HIGH=(30.3 30.8),'DRASTIC-HIGH=(30.8 32)
'windsp-3day,'bbvi1-wxt-wspeed-3-day-average,'online,'( 1 366),'DRASTIC-LOW=(2 3),'VERY-LOW=(3 5),'LOW=(5 6),'SOMEWHAT-LOW=(6 9),'AVERAGE=(9 17),'SOMEWHAT-HIGH=(17 22),'HIGH=(22 25),'VERY-HIGH=(25 30),'DRASTIC-HIGH=(30 50)
'sst,'bbvi1-misst-sst,'online,'( 1 366),'DRASTIC-LOW=(24 25),'VERY-LOW=(25 26),'LOW=(26 26.5),'SOMEWHAT-LOW=(26.5 27),'AVERAGE=(27 30.5),'SOMEWHAT-HIGH=(30.5 31),'HIGH=(31 31.5),'VERY-HIGH=(31.5 32),'DRASTIC-HIGH=(32 33)
'wxtwindsp,'bbvi1-wxt-wspeed,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 170)
'wxtwindgu,'bbvi1-wxt-wgust,'online,'( 1 366),'DRASTIC-LOW=(0 5),'VERY-LOW=(5 8),'LOW=(8 10),'SOMEWHAT-LOW=(10 15),'AVERAGE=(15 21),'SOMEWHAT-HIGH=(21 30),'HIGH=(30 50),'VERY-HIGH=(50 64),'DRASTIC-HIGH=(64 170)
'wxtwinddir,'bbvi1-wxt-wdir,'online,'( 1 366),'N-NE=(-0.1 40),'NE-ENE=(40 80),'ENE-ESE=(80 120),'ESE-SSE=(120 160),'SSE-SSW=(160 200),'SSW-WSW=(200 240),'WSW-W=(240 280),'W-NW=(280 320),'NW-N=(320 360)
'wxtbarom,'bbvi1-wxt-barom,'online,'( 1 366),'DRASTIC-LOW=(900 980),'VERY-LOW=(980 1000),'LOW=(1000 1005),'SOMEWHAT-LOW=(1005 1010),'AVERAGE=(1010 1015),'SOMEWHAT-HIGH=(1015 1020),'HIGH=(1020 1025),'VERY-HIGH=(1025 1030),'DRASTIC-HIGH=(1030 1035)
'wxtrnamt,'bbvi1-wxt-rain-amt,'online,'( 1 366),'DRASTIC-LOW=(0 0.5),'VERY-LOW=(0.5 1),'LOW=(1 2),'SOMEWHAT-LOW=(2 3),'AVERAGE=(3 6),'SOMEWHAT-HIGH=(6 8),'HIGH=(8 12),'VERY-HIGH=(12 15),'DRASTIC-HIGH=(15 18)
'windsp,'bbvi1-wxt-wspeed,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'tide1m,'bbvi1-ctd-deep-i-depth,'online,'( 1 366),'DRASTIC-LOW=(3.0 3.4),'VERY-LOW=(3.4 3.5),'LOW=(3.5 3.6),'SOMEWHAT-LOW=(3.6 3.8),'AVERAGE=(3.8 4.1),'SOMEWHAT-HIGH=(4.1 4.15),'HIGH=(4.15 4.25),'VERY-HIGH=(4.25 4.3),'DRASTIC-HIGH=(4.3 5.0)
'windsd-7day,'bbvi1-wxt-u-7-day-deviation-sum-dbjm1-wxt-v,'online,'( 1 366),'DRASTIC-LOW=(5 7),'VERY-LOW=(7 8),'LOW=(8 9),'SOMEWHAT-LOW=(9 10),'AVERAGE=(10 12),'SOMEWHAT-HIGH=(12 13),'HIGH=(13 15),'VERY-HIGH=(15 20),'DRASTIC-HIGH=(20 30)
'winddir,'bbvi1-wxt-wdir,'online,'( 1 366),'N-NE=(0 40),'NE-ENE=(40 80),'ENE-ESE=(80 120),'ESE-SSE=(120 160),'SSE-SSW=(160 200),'SSW-WSW=(200 240),'WSW-W=(240 280),'W-NW=(280 320),'NW-N=(320 360)
'seandbc-variability,'bbvi1-ctd-shallow-seatemp-1-day-deviation-3-day-average,'online,'( 1 366),'DRASTIC-LOW=(0.02 0.03),'VERY-LOW=(0.03 0.05),'LOW=(0.05 0.07),'SOMEWHAT-LOW=(0.07 0.1),'AVERAGE=(0.1 0.12),'SOMEWHAT-HIGH=(0.12 0.13),'HIGH=(0.13 0.14),'VERY-HIGH=(0.14 0.17),'DRASTIC-HIGH=(0.17 0.3)
